Quarter,Time,Down,ToGo,Location,Team,Detail,Type,DET,SDG,EPB,EPA,Play EPA,Win%,21,35,85,10,81,16,25,87,15
3,10:49,2,8,DET 14,SD,Philip Rivers pass complete short left to Ladarius Green for -1 yards (tackle by Rashean Mathis and Phillip Hunt),Pass,21,10,4.21,3.22,0.99,22.4,,,,,,,,,
3,10:06,3,9,DET 15,SD,Philip Rivers pass complete short middle to Keenan Allen for 8 yards (tackle by Glover Quin),Pass,21,10,3.22,3.01,0.21,21.3,,,,,,,,,
3,9:21,4,1,DET 7,SD,Josh Lambo 25 yard field goal good,Run,21,13,3.01,3,0.01,20.8,,,,,,,,,
3,9:21,,,SDG 35,SD,Josh Lambo kicks off 65 yards touchback,Kick,21,13,0,-0.28,0.28,19.9,,,,,,,,,
3,9:21,1,10,DET 20,DET,Matthew Stafford pass complete short right to Ameer Abdullah for 36 yards (tackle by Jason Verrett),Pass,21,13,0.28,2.65,-2.37,13.1,Wheel,NA,NA,NA,NA,NA,NA,NA,NA
3,8:37,1,10,SDG 44,DET,Matthew Stafford pass complete short left to Golden Tate for 6 yards (tackle by Eric Weddle),Pass,21,13,2.65,2.92,-0.27,12,NA,NA,NA,NA,NA,NA,NA,NA,Screen
3,8:02,2,4,SDG 38,DET,Matthew Stafford pass incomplete deep left intended for Golden Tate (defended by Jason Verrett),Pass,21,13,2.92,2.21,0.71,13.4,NA,Wheel,NA,NA,Post,NA,NA,NA,Double
3,7:55,3,4,SDG 38,DET,Matthew Stafford pass incomplete is intercepted by Kyle Emanuel at SDG-41,Pass,21,13,2.21,-1.66,3.87,25.9,NA,NA,Dig,NA,Fade,Post,NA,NA,Corner
3,7:49,1,10,SDG 41,SD,Philip Rivers pass complete short left to Keenan Allen for 15 yards (tackle by Rashean Mathis),Pass,21,13,1.66,2.65,-0.99,29.8,,,,,,,,,
3,7:14,1,10,DET 44,SD,Melvin Gordon middle for 5 yards (tackle by Josh Wilson),Run,21,13,2.65,2.78,-0.13,30,,,,,,,,,
3,6:54,2,5,DET 39,SD,Melvin Gordon middle for 4 yards (tackle by Jason Jones). Melvin Gordon fumbles (forced by Jason Jones) recovered by Stephen Tulloch at DET-35 (tackle by Melvin Gordon),Run,21,13,2.78,-1.27,4.05,15.2,,,,,,,,,
3,6:47,1,10,DET 35,DET,Joique Bell right end for -1 yards (tackle by Manti Te'o and Melvin Ingram),Run,21,13,1.27,0.59,0.68,17.2,,,,,,,,,
3,6:10,2,11,DET 34,DET,Matthew Stafford pass complete short left to Ameer Abdullah for -3 yards (tackle by Kyle Emanuel),Pass,21,13,0.59,-0.49,1.08,20.4,Screen,NA,Post,NA,Fade,Fade,NA,NA,Post
3,5:25,3,14,DET 31,DET,Matthew Stafford pass incomplete short right intended for Golden Tate is intercepted by Patrick Robinson at DET-43 and returned for 27 yards,Pass,21,13,-0.49,-4.51,4.02,36.9,NA,NA,NA,Fade,Post,NA,NA,NA,Double
3,5:15,1,10,DET 16,SD,Danny Woodhead middle for 3 yards (tackle by Haloti Ngata),Run,21,13,4.51,4.39,0.12,36.2,,,,,,,,,
3,4:46,2,7,DET 13,SD,Danny Woodhead middle for 1 yard (tackle by Darryl Tapp),Run,21,13,4.39,3.73,0.66,32.8,,,,,,,,,
3,4:09,3,6,DET 12,SD,Philip Rivers pass complete short left to Steve Johnson for 12 yards touchdown,Pass,21,19,3.73,7,-3.27,43.7,,,,,,,,,
3,4:09,,,DET 12,SD,Josh Lambo kicks extra point good,Kick,21,20,0,0,0,48.9,,,,,,,,,
3,4:09,,,SDG 35,SD,Josh Lambo kicks off 65 yards touchback,Kick,21,20,0,-0.28,0.28,47.5,,,,,,,,,
3,4:03,1,10,DET 20,DET,Matthew Stafford pass complete short left to Ameer Abdullah for 11 yards (tackle by Jahleel Addae and Patrick Robinson),Pass,21,20,0.28,1,-0.72,43.7,Wheel,NA,Post,NA,Dig,Post,NA,NA,Fade
3,3:28,1,10,DET 31,DET,Ameer Abdullah middle for 6 yards (tackle by Eric Weddle),Run,21,20,1,1.27,-0.27,42,,,,,,,,,
3,2:48,2,4,DET 37,DET,Matthew Stafford pass complete short right to Golden Tate for 1 yard (tackle by Eric Weddle and Jason Verrett),Pass,21,20,1.27,0.7,0.57,44.8,NA,NA,NA,NA,NA,NA,NA,NA,Screen
3,2:08,3,3,DET 38,DET,Ameer Abdullah right tackle for 2 yards (tackle by Cordarro Law and Manti Te'o),Run,21,20,0.7,-0.72,1.42,52.4,,,,,,,,,
3,1:14,4,1,DET 40,DET,Penalty on Sam Martin: Delay of Game 4 yards (no play),Run,21,20,-0.72,-0.98,0.26,53.7,,,,,,,,,
3,0:57,4,5,DET 36,DET,Sam Martin punts 34 yards,Punt,21,20,-0.98,-0.94,-0.04,53.5,,,,,,,,,
3,0:41,1,10,SDG 30,SD,Philip Rivers pass complete short right to Branden Oliver for 17 yards (tackle by Devin Taylor),Pass,21,20,0.94,2.06,-1.12,59.8,,,,,,,,,
4,15:00,1,10,SDG 47,SD,Melvin Gordon right tackle for 3 yards (tackle by Josh Bynes),Run,21,20,2.06,1.92,0.14,59.1,,,,,,,,,
4,14:28,2,7,50,SD,Philip Rivers pass complete short right to Danny Woodhead for -3 yards (tackle by Phillip Hunt),Pass,21,20,1.92,0.83,1.09,52.6,,,,,,,,,
4,13:44,3,10,SDG 47,SD,Philip Rivers pass complete short middle to Keenan Allen for 15 yards (tackle by Rashean Mathis),Pass,21,20,0.83,3.05,-2.22,65.8,,,,,,,,,
4,13:13,1,10,DET 38,SD,Danny Woodhead right tackle for 4 yards (tackle by Jason Jones),Run,21,20,3.05,3.05,0,65.9,,,,,,,,,
4,12:38,2,6,DET 34,SD,Philip Rivers pass complete short left to Ladarius Green for 21 yards (tackle by James Ihedigbo),Pass,21,20,3.05,4.71,-1.66,75.3,,,,,,,,,
4,11:53,1,10,DET 13,SD,Philip Rivers pass complete short middle to Ladarius Green for 13 yards touchdown,Pass,21,26,4.71,7,-2.29,82,,,,,,,,,
4,11:53,1,10,DET 13,SD,Penalty on Philip Rivers: Delay of Game 5 yards (no play),Run,21,26,4.71,0,4.71,82,,,,,,,,,
4,11:53,,,DET 13,SD,Josh Lambo kicks extra point no good,Kick,21,26,0,-1,1,77.3,,,,,,,,,
4,11:53,,,SDG 35,SD,Josh Lambo kicks off 73 yards returned by Ameer Abdullah for 34 yards (tackle by Eric Weddle),Kick,21,26,0,-0.67,0.67,78.9,,,,,,,,,
4,11:43,1,10,DET 26,DET,Matthew Stafford pass complete short left to Joique Bell for 18 yards (tackle by Melvin Ingram),Pass,21,26,0.67,1.86,-1.19,72.9,NA,Screen,NA,NA,NA,NA,NA,NA,NA
4,11:08,1,10,DET 44,DET,Ameer Abdullah middle for 11 yards (tackle by Jimmy Wilson),Run,21,26,1.86,2.59,-0.73,68.9,,,,,,,,,
